,CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
128,129,Male,59,71,11
130,131,Male,47,71,9
134,135,Male,20,73,5
136,137,Female,44,73,7
138,139,Male,19,74,10
140,141,Female,57,75,5
144,145,Male,25,77,12
148,149,Female,34,78,22
150,151,Male,43,78,17
152,153,Female,44,78,20
154,155,Female,47,78,16
156,157,Male,37,78,1
158,159,Male,34,78,1
162,163,Male,19,81,5
164,165,Male,50,85,26
166,167,Male,42,86,20
168,169,Female,36,87,27
170,171,Male,40,87,13
172,173,Male,36,87,10
174,175,Female,52,88,13
176,177,Male,58,88,15
178,179,Male,59,93,14
180,181,Female,37,97,32
182,183,Male,46,98,15
184,185,Female,41,99,39
186,187,Female,54,101,24
188,189,Female,41,103,17
190,191,Female,34,103,23
192,193,Male,33,113,8
194,195,Female,47,120,16
196,197,Female,45,126,28
198,199,Male,32,137,18
